Dataset,Rouge-1,Rouge-2,Rouge-L,BLEU,PA,PTA,RTA
hdfs,15.46,5.09,14.53,0.03,0.00,0.00,0.00
hadoop,11.52,4.65,11.33,0.02,0.00,0.00,0.00
bgl,18.86,14.34,18.77,0.02,0.14,0.03,0.04
thunderbird,17.06,10.59,17.06,0.08,0.09,0.01,0.03
