Dataset,Rouge-1,Rouge-2,Rouge-L,BLEU,PA,PTA,RTA
hdfs,84.09,78.29,83.96,0.77,0.66,0.13,0.73
hadoop,85.53,79.57,85.53,0.74,0.50,0.19,0.39
bgl,87.31,80.07,87.29,0.61,0.59,0.21,0.39
thunderbird,90.74,87.58,90.74,0.86,0.79,0.31,0.39
